"Formatted ID","Name","Schedule State","Plan Estimate","Feature","Project","Direct Children Count","Release","Blocked","Parent ID"
"US208087","[BDX-ML] K-Brief on Fuse compare methodology for BDX-ML in PPV","Undefined","1.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208073","[BDX-ML] Add QJ3M fix to fuse override DDR type","Undefined","2.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208072","BDX-DE: AS a TM, I want to support the Fib testing for SC PLL 300/400MHz","Defined","1.0","","MPV 3 - Rave","0","Q215","False",""
"US208071","[BDX-ML] Move the Fuse Validation node prior applyFuseOverwrite and  enable SPS after b31 failure","Undefined","4.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208062","BDX-DE:  As a TM, I want to support MDIO Fib testing","Defined","2.0","","MPV 3 - Rave","0","Q215","False",""
"US208058","[BDX-ML] ECC on monitor mode with the value recommended (5)","Undefined","1.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208055","[BDX-ML] DTS on monitor mode with the new range","Undefined","1.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208053","[BDX-ML] FIVR test fix","Undefined","2.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208050","[BDX-ML] Release TP patch BDXMLEC1513d to PG to support A2","Undefined","2.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208045","[BDX-ML] Enable QPI L1 in EP BIOS","Undefined","2.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208044","[BDX-ML] Enable PMT content (Solar)","Undefined","4.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208042","[BDX-ML] Support ATD to run SPM volume for data collection","Undefined","2.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US208031","[BDX-ML] Debug image creation/deployment issue in APSE 8.1.2.969","Undefined","2.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US207970","As a TM I want to Continue to Develop Efficiency Tracking of the ML Tests","Undefined","4.0","","MPV 3 - Rave","0","Q215","False",""
"US207960","As a TM, I want to Contnue to run the BDX-ML THR effort","Undefined","1.0","","MPV 3 - Rave","0","Q215","False",""
"US207959","As a SU, I want to Continue my Fusion SU tasks","Undefined","1.0","","MPV 3 - Rave","0","Q215","False",""
"US203323","Q215 B0 GB Reduction work to provide QS GB","Defined","8.0","","MPV 3 - Rave","0","Q215","False",""
"US202836","[BDX-ML] Update Prime95 script to run only in one CPU and proper window switching","Undefined","4.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US202800","Support MIO tea to include VSME searches and Dynamic structure for HCC EX material.","Undefined","2.0","","Class TPI - Rave","0","Q215","False",""
"US202662","[BDX-ML] Request Wellsburg B1 units (EP)","Undefined","1.0","Feature F4248: BDX ML Q215 Release BDX-ML PPV TP to support QS / DP config","MPV 1 - Rave","0","Q215","False",""
"US202657","[HTD][Parent][CNX Infra POC]","Defined","","","HTD - Rave","0","Q215","False",""
"US202656","[HTD][Parent][HTD automation and standardization]","Defined","116.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","18","","False",""
"US202797","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202795","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202794","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202793","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202792","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202789","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202788","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202787","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202786","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202785","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
"US202784","[HTD][Horizontal] Standardization activities","Defined","8.0","Feature F4279: Q215 Rave Train Standardization and Continuous Improvement","HTD - Rave","0","Q215","False","US202656"
